Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,41400,18.97,39454.00,High school diploma or equivalent,<5 years,None
State,California,2014-2024,373011,Landscaping and Groundskeeping Workers,41100,12.99,27013.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,434171,Receptionists and Information Clerks,40000,14.52,30209.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2014-2024,399011,Childcare Workers,39900,11.84,24627.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",39600,34.75,72289.00,High school diploma or equivalent,≥5 years,None
State,California,2014-2024,319092,Medical Assistants,39200,16.60,34518.00,Postsecondary non-degree award,None,None
State,California,2014-2024,537064,"Packers and Packagers, Hand",37700,9.88,20558.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,151121,Computer Systems Analysts,36400,46.17,96042.00,Bachelor's degree,None,None
State,California,2014-2024,353011,Bartenders,36200,11.85,24647.00,No formal educational credential,None,Short-term on-the-job training
State,California,2014-2024,131161,Market Research Analysts and Marketing Specialists,35800,35.32,73446.00,Bachelor's degree,None,None
State,California,2014-2024,151133,"Software Developers, Systems Software",32900,60.56,125949.00,Bachelor's degree,None,None
State,California,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",32400,,75843.00,Bachelor's degree,None,Internship/Residency
State,California,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,32400,25.36,52743.00,Postsecondary non-degree award,None,None
State,California,2014-2024,533033,Light Truck or Delivery Services Drivers,30100,15.54,32324.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2014-2024,253098,Substitute Teachers,29400,18.44,38368.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Chico MSA,2014-2024,399021,Personal Care Aides,1800,10.37,21578.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,220,12.59,26202.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",1540,9.62,19997.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,412031,Retail Salespersons,1160,11.94,24827.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,353031,Waiters and Waitresses,930,9.79,20354.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,412011,Cashiers,880,11.16,23209.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,439061,"Office Clerks, General",650,13.92,28961.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",620,,,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Chico MSA,2014-2024,435081,Stock Clerks and Order Fillers,530,10.85,22575.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,111021,General and Operations Managers,520,36.87,76690.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Chico MSA,2014-2024,259041,Teacher Assistants,450,,28223.00,"Some college, no degree",None,None
Metropolitan Area,Chico MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",450,12.25,25473.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,399011,Childcare Workers,440,11.04,22975.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,311014,Nursing Assistants,430,13.19,27421.00,Postsecondary non-degree award,None,None
Metropolitan Area,Chico MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",380,9.95,20704.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",380,13.11,27261.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",370,,71187.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Chico MSA,2014-2024,352014,"Cooks, Restaurant",340,11.05,22985.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,353011,Bartenders,330,10.77,22393.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,499071,"Maintenance and Repair Workers, General",320,15.19,31594.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,310,14.28,29695.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Chico MSA,2014-2024,434051,Customer Service Representatives,310,16.33,33985.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",270,9.64,20038.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,211093,Social and Human Service Assistants,260,16.94,35233.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,319092,Medical Assistants,260,14.86,30908.00,Postsecondary non-degree award,None,None
Metropolitan Area,Chico MSA,2014-2024,372012,Maids and Housekeeping Cleaners,260,9.78,20344.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",260,16.85,35050.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,132011,Accountants and Auditors,250,26.31,54718.00,Bachelor's degree,None,None
Metropolitan Area,Chico MSA,2014-2024,472061,Construction Laborers,250,18.40,38267.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,240,24.22,50359.00,Postsecondary non-degree award,None,None
Metropolitan Area,Chico MSA,2014-2024,311011,Home Health Aides,240,9.64,20038.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",240,9.55,19864.00,No formal educational credential,None,None
Metropolitan Area,Chico MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,240,17.53,36452.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Chico MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,230,23.27,48394.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Chico MSA,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,220,9.61,19987.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,220,11.67,24260.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,352011,"Cooks, Fast Food",210,9.63,20017.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,413021,Insurance Sales Agents,200,20.74,43154.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,434171,Receptionists and Information Clerks,200,12.53,26054.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,352021,Food Preparation Workers,190,9.75,20283.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,359021,Dishwashers,190,9.44,19640.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,252011,"Preschool Teachers, Except Special Education",180,10.58,22014.00,Associate's degree,None,None
Metropolitan Area,Chico MSA,2014-2024,436013,Medical Secretaries,160,16.46,34221.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,493023,Automotive Service Technicians and Mechanics,160,18.69,38866.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,537064,"Packers and Packagers, Hand",160,9.96,20731.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,333051,Police and Sheriff's Patrol Officers,150,36.72,76378.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",150,23.42,48713.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Chico MSA,2014-2024,119141,"Property, Real Estate, and Community Association Managers",130,21.03,43738.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Chico MSA,2014-2024,319091,Dental Assistants,130,21.41,44552.00,Postsecondary non-degree award,None,None
County,Ventura County,2014-2024,319092,Medical Assistants,1240,16.97,35293.00,Postsecondary non-degree award,None,None
Consortium,Eastern Sierra Region,2014-2024,353031,Waiters and Waitresses,450,9.79,20364.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",400,9.47,19691.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,372012,Maids and Housekeeping Cleaners,360,10.34,21496.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,412031,Retail Salespersons,300,13.79,28678.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,412011,Cashiers,270,10.58,22006.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,352014,"Cooks, Restaurant",250,13.85,28797.00,No formal educational credential,<5 years,Moderate-term on-the-job training
County,Marin County,2014-2024,319092,Medical Assistants,300,19.42,40382.00,Postsecondary non-degree award,None,None
Consortium,Eastern Sierra Region,2014-2024,434081,"Hotel, Motel, and Resort Desk Clerks",220,11.50,23916.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,499071,"Maintenance and Repair Workers, General",190,17.35,36085.00,High school diploma or equivalent,None,Long-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,291141,Registered Nurses,180,39.52,82204.00,Bachelor's degree,None,None
Consortium,Eastern Sierra Region,2014-2024,194093,Forest and Conservation Technicians,150,15.58,32403.00,Associate's degree,None,None
Consortium,Eastern Sierra Region,2014-2024,111021,General and Operations Managers,130,42.43,88254.00,Bachelor's degree,≥5 years,None
Consortium,Eastern Sierra Region,2014-2024,435081,Stock Clerks and Order Fillers,130,10.58,22002.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,353011,Bartenders,110,11.39,23688.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,439061,"Office Clerks, General",110,17.58,36564.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,359021,Dishwashers,100,10.76,22373.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",100,15.23,31683.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,373011,Landscaping and Groundskeeping Workers,100,13.84,28777.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Eastern Sierra Region,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,80,16.99,35344.00,High school diploma or equivalent,<5 years,None
Consortium,Eastern Sierra Region,2014-2024,352021,Food Preparation Workers,80,12.53,26075.00,No formal educational credential,None,Short-term on-the-job training
